2026-06-15 18:58:22 | ERROR    | Dummy-3         | [DetectionManager] Loi nap model YOLO: [WinError 1114] A dynamic link library (DLL) initialization routine failed. Error loading "D:\gttm3\traffic_ai_project\project\.venv\Lib\site-packages\torch\lib\c10.dll" or one of its dependencies.
2026-06-15 18:58:24 | ERROR    | Dummy-4         | [OCRManager] Khong the khoi tao EasyOCR: [WinError 1114] A dynamic link library (DLL) initialization routine failed. Error loading "D:\gttm3\traffic_ai_project\project\.venv\Lib\site-packages\torch\lib\c10.dll" or one of its dependencies.. OCR se tra ve UNKNOWN.
2026-06-15 21:19:44 | ERROR    | Dummy-3         | [DetectionManager] Loi nap model YOLO: [WinError 1114] A dynamic link library (DLL) initialization routine failed. Error loading "D:\gttm3\traffic_ai_project\project\.venv\Lib\site-packages\torch\lib\c10.dll" or one of its dependencies.
2026-06-15 21:19:46 | ERROR    | Dummy-4         | [OCRManager] Khong the khoi tao EasyOCR: [WinError 1114] A dynamic link library (DLL) initialization routine failed. Error loading "D:\gttm3\traffic_ai_project\project\.venv\Lib\site-packages\torch\lib\c10.dll" or one of its dependencies.. OCR se tra ve UNKNOWN.
2026-06-15 21:25:22 | ERROR    | Dummy-3         | [DetectionManager] Loi nap model YOLO: [WinError 1114] A dynamic link library (DLL) initialization routine failed. Error loading "D:\gttm3\traffic_ai_project\project\.venv\Lib\site-packages\torch\lib\c10.dll" or one of its dependencies.
2026-06-15 21:25:24 | ERROR    | Dummy-4         | [OCRManager] Khong the khoi tao EasyOCR: [WinError 1114] A dynamic link library (DLL) initialization routine failed. Error loading "D:\gttm3\traffic_ai_project\project\.venv\Lib\site-packages\torch\lib\c10.dll" or one of its dependencies.. OCR se tra ve UNKNOWN.
2026-06-15 21:30:09 | ERROR    | Dummy-3         | [DetectionManager] Loi nap model YOLO: [WinError 1114] A dynamic link library (DLL) initialization routine failed. Error loading "D:\gttm3\traffic_ai_project\project\.venv\Lib\site-packages\torch\lib\c10.dll" or one of its dependencies.
2026-06-15 21:30:10 | ERROR    | Dummy-4         | [OCRManager] Khong the khoi tao EasyOCR: [WinError 1114] A dynamic link library (DLL) initialization routine failed. Error loading "D:\gttm3\traffic_ai_project\project\.venv\Lib\site-packages\torch\lib\c10.dll" or one of its dependencies.. OCR se tra ve UNKNOWN.
2026-06-15 21:34:08 | ERROR    | Dummy-3         | [DetectionManager] Loi nap model YOLO: [WinError 1114] A dynamic link library (DLL) initialization routine failed. Error loading "D:\gttm3\traffic_ai_project\project\.venv\Lib\site-packages\torch\lib\c10.dll" or one of its dependencies.
2026-06-15 21:34:10 | ERROR    | Dummy-4         | [OCRManager] Khong the khoi tao EasyOCR: [WinError 1114] A dynamic link library (DLL) initialization routine failed. Error loading "D:\gttm3\traffic_ai_project\project\.venv\Lib\site-packages\torch\lib\c10.dll" or one of its dependencies.. OCR se tra ve UNKNOWN.
2026-06-15 21:43:43 | ERROR    | Dummy-3         | [DetectionManager] Loi nap model YOLO: [WinError 1114] A dynamic link library (DLL) initialization routine failed. Error loading "D:\gttm3\traffic_ai_project\project\.venv\Lib\site-packages\torch\lib\c10.dll" or one of its dependencies.
2026-06-15 21:43:44 | ERROR    | Dummy-4         | [OCRManager] Khong the khoi tao EasyOCR: [WinError 1114] A dynamic link library (DLL) initialization routine failed. Error loading "D:\gttm3\traffic_ai_project\project\.venv\Lib\site-packages\torch\lib\c10.dll" or one of its dependencies.. OCR se tra ve UNKNOWN.
2026-06-15 21:51:00 | ERROR    | Dummy-3         | [DetectionManager] Loi nap model YOLO: [WinError 1114] A dynamic link library (DLL) initialization routine failed. Error loading "D:\gttm3\traffic_ai_project\project\.venv\Lib\site-packages\torch\lib\c10.dll" or one of its dependencies.
2026-06-15 21:51:02 | ERROR    | Dummy-4         | [OCRManager] Khong the khoi tao EasyOCR: [WinError 1114] A dynamic link library (DLL) initialization routine failed. Error loading "D:\gttm3\traffic_ai_project\project\.venv\Lib\site-packages\torch\lib\c10.dll" or one of its dependencies.. OCR se tra ve UNKNOWN.
2026-06-15 21:52:24 | ERROR    | Dummy-3         | [DetectionManager] Loi nap model YOLO: [WinError 1114] A dynamic link library (DLL) initialization routine failed. Error loading "D:\gttm3\traffic_ai_project\project\.venv\Lib\site-packages\torch\lib\c10.dll" or one of its dependencies.
2026-06-15 21:52:26 | ERROR    | Dummy-4         | [OCRManager] Khong the khoi tao EasyOCR: [WinError 1114] A dynamic link library (DLL) initialization routine failed. Error loading "D:\gttm3\traffic_ai_project\project\.venv\Lib\site-packages\torch\lib\c10.dll" or one of its dependencies.. OCR se tra ve UNKNOWN.
2026-06-16 15:34:08 | ERROR    | Dummy-3         | [DetectionManager] Loi nap model YOLO: [WinError 1114] A dynamic link library (DLL) initialization routine failed. Error loading "D:\gttm3\traffic_ai_project\project\.venv\Lib\site-packages\torch\lib\c10.dll" or one of its dependencies.
2026-06-16 15:34:10 | ERROR    | Dummy-4         | [OCRManager] Khong the khoi tao EasyOCR: [WinError 1114] A dynamic link library (DLL) initialization routine failed. Error loading "D:\gttm3\traffic_ai_project\project\.venv\Lib\site-packages\torch\lib\c10.dll" or one of its dependencies.. OCR se tra ve UNKNOWN.
2026-06-17 14:34:03 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:03 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:03 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:03 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:03 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:03 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:04 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:04 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:04 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:04 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:04 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:04 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:04 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:04 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
